Country,Identifier / Registry Name,Registry Type,Legal Forms / Entity Types Covered,Lookup URL,Programmatic Access,Manual Lookup,Programmatic Access — Cost & Access,Manual Access — Cost & Access,API/Interface Type,Change/Updates Access,Data Model Docs,Notes/Legal
Global,Business Identifier Code (BIC),FI Identifier,Banks and financial institutions globally,swift.com,Yes – SwiftRef APIs and automated download,Yes – Bankers World Online,Subscription-based; automated download via web service or FileAct,Included in subscription; portal search,REST API; XML/TXT feeds,Monthly or daily delta feeds,ISO Registry for BIC and IBAN formats,ISO 9362 standard for payments
Global,Legal Entity Identifier (LEI),Entity Identifier,All legal entities in financial transactions,gleif.org,Yes – free public API and bulk data,Yes – free web search,Free of charge (CC0 license); no registration required,Free basic search 1,REST API; XML/JSON/CSV 1,Updated 3x daily via Golden Copy/Delta files 1,Common Data File (CDF) formats 1,Supra-national system governed by FSB/G20 2
Global,Global Intermediary ID Number (GIIN),FI Identifier,FIs registered under FATCA; FFIs, NFFEs,irs.gov,Yes – through 3rd party APIs (e.g. TaxBandits),Yes – FFI List search tool,IRS FFI list tool is free; automated APIs via 3rd parties are paid 4,Free lookup by name or GIIN,HTTP JSON/XML (via 3rd party) 4,Monthly published FFI list,19-character GIIN format,Required for FATCA withholding compliance
Global,ECB RIAD (Identnummer),FI Identifier,MFIs, IFs, FVCs in the ESCB area,data.ecb.europa.eu,Yes – ECB SDMX RESTful API,Yes – ECB Data Portal,Free for statistical data; restricted supervisory levels,Free search on ECB portal,RESTful API (SDMX 2.1) 6,Real-time querying; nightly updates 7,Data Structure Definitions (DSD),Register of Institutions and Affiliates Database
Sweden,Organisationsnummer,Business register,AB, HB/KB, Sole Trader, SE/SCE,bolagsverket.se,Yes – paid APIs and open datasets,Yes – free basic search,One-time fee + monthly tier; contract required 9,Basic info free; extracts/docs paid 9,REST (OAuth2) 9,Daily 'valuable datasets' 9,bolagsverket.se/api 9,Primary Swedish KYB key 9
Sweden,Personnummer,Individuals,All registered residents and citizens,skatteverket.se,Yes – restricted API for public/obliged actors,Yes – individual certificates,Paid (non-authorities); legal basis & agreement required 9,Self-service certs; manual ordering 9,REST (OAuth2) 9,Ongoing notification database 9,skatteverket.se/developer 9,Governed by Tax Secrecy Act 9
Sweden,Samordningsnummer,Individuals,Persons without Personnummer (temporary),skatteverket.se,Yes – via restricted population API,Yes – ordering extract,Same as Personnummer API access 9,Request via Skatteverket portal,REST (OAuth2) 9,Reflected in population register 9,National registration specs 9,Coordinates with tax identity 9
Sweden,FI Institutnummer,Financial supervisor,Authorised banking, investment, CASPs,fi.se,Restricted – via datasets/endpoints,Yes – free web search,No general public API; nightly XML downloads 9,Free web search; 1-2 day delay 9,Site exports 9,Updated daily/weekly 9,fi.se/our-registers 9,Includes MiCA asset services 9
UAE,Business License number (BL) / ERN,Business license,Mainland (DED) and Free Zone licenses,ner.economy.ae,Yes – government API marketplace,Yes – bilingual search,Free access via UAE API Marketplace portal,Free web search by name/ERN,Web API (UAE API Marketplace),Real-time consolidated data from all emirates,ISIC4 activity codes,ERN is the digital identity key
Argentina,CUIT / CUIL,Tax identification,Businesses (CUIT), Individuals (CUIL),cuitonline.com,Yes – via 3rd party providers,Yes – free verification tool,Free portal use; API costs per provider (e.g. Verifik),Free "Constancia de Inscripción",REST API (3rd party),Real-time status confirmation,11-digit (XX-XXXXXXXX-X),Mandatory for all commercial ops
Austria,Commercial Register (FB-Nr.),Commercial register,GmbH, AG, cooperatives, partnerships,justizonline.gv.at,Yes – via clearing houses/partners,Yes – search; paid docs,API via partners (e.g. ADVOKAT),Basic free; extracts ~€4.50 5,SOAP/WSDL; XML 11,Continuous; official publication 5,FBG/UGB standards,Court-based registry system 12
Austria,Association Register (ZVR),Association register,All registered associations (Vereine),zvr.bmi.gv.at,Yes – via Wirtschafts-Compass API,Yes – free basic search,Paid API via brokers (Compass) 13,Free search; detailed info paid 13,REST/JSON (3rd party) 13,Continuous updates 13,AT-ZVR identifier schema,Managed by Interior Ministry
Austria,OeNB Identnummer,Reporting identifier,Reporting agents, financial institutions,myoenb.at,Yes – Secure Report Mailing,Yes – via restricted portal,Monthly KM 100 fee for internet access 15,Gated; requires smart card/USB,XML; SRM; Connect:Direct,Daily data transfer,IT interface docs (German),Issued by Austrian Central Bank
Austria,Tax Identification Number,Tax identification,Natural persons and entities,finanzonline.bmf.gv.at,Yes – restricted for authorized systems,Yes – via FinanzOnline,Access for authorized payroll/tax systems,Gated via user login,Web API; portal,Real-time verification,9-digit numeric,Managed by BMF
Australia,Australian Business number (ABN),Business identity,All entities with ABNs,abr.business.gov.au,Yes – free web services,Yes – free public search,Free; requires GUID registration,Free web search by ABN/name,SOAP/WSDL; XML,Near real-time updates,(https://abr.business.gov.au/Tools/WebServices),11-digit unique identifier
Australia,Australian Company number (ACN),Company register,Corporations, unlisted companies,asic.gov.au,Yes – ASIC API for DSPs,Yes – free basic search,No API fee; must apply as DSP,Basic free; docs/extracts paid 11,SOAP (EDGE/ELS),Continuous online lodging,Message Implementation Guide,9-digit company number 14
Bosnia & Herz.,Business register (MBS),Business register,d.o.o., s.p., associations,bizreg.pravosudje.ba,Open Data portal available,Yes – free basic search,Free registration via portal,Free web search by name/RNS,e-Registar; XML 17,24/7 online access 17,Single Window System,Federation/Brčko registries 17
